index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
537	14	12	B2-A2	B2-A1	1.3806706114	1.1834319527	1.638	1.591	1.466	1.607	3.104	3.198	6	6	0.531	0.578	5.07	5.07	7	6	0	0	TRUE	FALSE
538	21	13	B2-A2	B2-A1	1.1834319527	1.1655011655	1.529	1.809	1.419	1.576	2.948	3.385	6	6	0.592	0.749	5.07	5.148	6	6	0	0	TRUE	FALSE
539	24	31	B2-A2	B2-A1	1.3806706114	1.9723865878	3.666	0.905	1.279	2.153	4.945	3.058	6	6	0.936	0.764	5.07	5.07	7	10	0	0	TRUE	FALSE
540	28	32	B2-A2	B2-A1	1.1834319527	1.3806706114	2.199	1.373	1.623	2.168	3.822	3.541	6	6	0.702	1.123	5.07	5.07	6	7	0	1	TRUE	FALSE
541	6	1	A1-B1	A1-B2	0.9861932939	0.2465483235	2.511	10.389	1.763	1.404	4.274	11.793	6	6	0.686	1.794	5.07	4.056	5	1	0	1	TRUE	TRUE
542	20	22	A1-B1	A1-B2	1.1834319527	0.9861932939	1.389	2.652	1.123	1.201	2.512	3.853	6	6	0.686	3.229	5.07	5.07	6	5	0	0	TRUE	FALSE
543	26	28	A1-B1	A1-B2	1.1834319527	0.7889546351	1.451	1.201	1.888	1.076	3.339	2.277	6	6	0.436	2.137	5.07	5.07	6	4	0	0	TRUE	FALSE
544	31	34	A1-B1	A1-B2	1.3806706114	0.7889546351	0.874	1.435	0.951	1.513	1.825	2.948	6	6	0.686	2.371	5.07	5.07	7	4	0	0	TRUE	FALSE
545	40	36	A1-B1	A1-B2	1.3806706114	0	3.712	1.342	1.95	1.419	5.662	2.761	6	6	0.53	NA	5.07	4.056	7	0	0	1	TRUE	TRUE
546	3	2	A2-B2	A2-B1	1.3806706114	0.9861932939	2.776	1.591	1.794	1.935	4.57	3.526	6	6	1.014	0.826	5.07	5.07	7	5	0	0	TRUE	FALSE
547	8	9	A2-B2	A2-B1	1.3433122241	0.2465483235	1.95	1.669	1.81	1.935	3.76	3.604	6	6	0.687	3.932	5.211	4.056	7	1	0	0	TRUE	TRUE
548	12	23	A2-B2	A2-B1	1.1834319527	1.3806706114	3.042	1.31	1.498	2.184	4.54	3.494	6	6	0.811	3.37	5.07	5.07	6	7	0	0	TRUE	FALSE
549	15	27	A2-B2	A2-B1	1.1834319527	0.2465483235	0.936	0.843	1.575	1.388	2.511	2.231	6	6	0.546	2.948	5.07	4.056	6	1	1	0	TRUE	TRUE
550	24	30	A2-B2	A2-B1	1.3806706114	0.4930966469	2.277	1.326	1.997	2.106	4.274	3.432	6	6	0.577	1.076	5.07	4.056	7	2	0	0	TRUE	TRUE
551	10	14	B1-A1	B1-A2	0.7889546351	1.775147929	1.264	1.997	1.232	1.763	2.496	3.76	6	6	0.608	0.608	5.07	5.07	4	9	0	0	TRUE	FALSE
552	16	18	B1-A1	B1-A2	1.1834319527	1.775147929	1.966	2.527	2.371	2.075	4.337	4.602	6	6	0.811	0.686	5.07	5.07	6	9	0	0	TRUE	FALSE
553	19	32	B1-A1	B1-A2	0.9861932939	1.775147929	1.497	0.546	1.217	1.264	2.714	1.81	6	6	1.123	2.761	5.07	5.07	5	9	0	0	TRUE	FALSE
554	35	33	B1-A1	B1-A2	1.3803983435	1.1834319527	1.513	1.419	1.046	1.638	2.559	3.057	6	6	0.718	1.123	5.071	5.07	7	6	1	1	TRUE	FALSE
555	39	38	B1-A1	B1-A2	1.1834319527	1.9723865878	2.855	1.638	1.435	1.701	4.29	3.339	6	6	0.639	0.639	5.07	5.07	6	10	0	0	TRUE	FALSE
556	5	4	B2-A2	B2-A1	1.3806706114	1.7588430721	1.451	3.759	1.138	1.763	2.589	5.522	6	6	0.514	0.796	5.07	5.117	7	9	0	1	TRUE	FALSE
557	11	7	B2-A2	B2-A1	1.3806706114	0.2465483235	1.31	2.995	2.839	2.184	4.149	5.179	6	6	0.562	1.202	5.07	4.056	7	1	1	0	TRUE	TRUE
558	13	17	B2-A2	B2-A1	1.1834319527	0.9861932939	1.575	2.308	1.576	1.264	3.151	3.572	6	6	0.624	3.245	5.07	5.07	6	5	0	0	TRUE	FALSE
559	21	25	B2-A2	B2-A1	1.3806706114	1.1799410029	2.839	1.092	1.295	1.56	4.134	2.652	6	6	0.452	2.808	5.07	5.085	7	6	0	0	TRUE	FALSE
560	29	37	B2-A2	B2-A1	1.3806706114	2.5641025641	1.498	0.936	1.279	1.451	2.777	2.387	6	6	0.468	1.638	5.07	5.07	7	13	0	1	TRUE	FALSE
561	7	13	A1-B1	A1-B2	1.3806706114	1.3806706114	2.059	0.655	1.123	1.638	3.182	2.293	6	6	0.484	1.513	5.07	5.07	7	7	0	0	TRUE	FALSE
562	8	20	A1-B1	A1-B2	1.1834319527	0.9861932939	1.17	1.248	1.482	2.308	2.652	3.556	6	6	0.671	3.026	5.07	5.07	6	5	0	0	TRUE	FALSE
563	15	21	A1-B1	A1-B2	1.1834319527	1.3806706114	1.061	1.342	1.092	1.31	2.153	2.652	6	6	0.827	0.905	5.07	5.07	6	7	0	0	TRUE	FALSE
564	28	36	A1-B1	A1-B2	1.1834319527	0.7889546351	1.545	1.404	1.341	1.326	2.886	2.73	6	6	0.671	1.31	5.07	5.07	6	4	0	0	TRUE	FALSE
565	29	40	A1-B1	A1-B2	1.1834319527	0.2465483235	0.655	1.139	1.482	1.419	2.137	2.558	6	6	0.764	2.761	5.07	4.056	6	1	0	0	TRUE	TRUE
566	5	11	A2-B2	A2-B1	1.3806706114	1.5779092702	1.841	1.435	1.763	2.652	3.604	4.087	6	6	0.562	2.948	5.07	5.07	7	8	0	1	TRUE	FALSE
567	14	12	A2-B2	A2-B1	1.1834319527	1.3806706114	1.201	1.794	0.999	1.467	2.2	3.261	6	6	0.904	1.918	5.07	5.07	6	7	0	0	TRUE	FALSE
568	16	17	A2-B2	A2-B1	1.1834319527	0.2465483235	1.56	2.184	2.277	1.31	3.837	3.494	6	6	0.577	3.916	5.07	4.056	6	1	0	1	TRUE	TRUE
569	25	19	A2-B2	A2-B1	1.1834319527	0.4930966469	1.591	1.342	1.747	1.17	3.338	2.512	6	6	0.671	1.841	5.07	4.056	6	2	0	0	TRUE	TRUE
570	30	31	A2-B2	A2-B1	1.1834319527	0.2465483235	1.466	0.905	1.077	1.763	2.543	2.668	6	6	0.592	2.418	5.07	4.056	6	1	0	0	TRUE	TRUE
571	3	24	B1-A1	B1-A2	1.1834319527	0.7889546351	1.372	0.655	1.28	1.825	2.652	2.48	6	6	0.858	2.668	5.07	5.07	6	4	0	0	TRUE	FALSE
572	4	32	B1-A1	B1-A2	1.3806706114	0.4930966469	4.586	1.56	0.718	1.217	5.304	2.777	6	6	0.562	2.528	5.07	4.056	7	2	0	0	TRUE	TRUE
573	10	34	B1-A1	B1-A2	1.176239953	0.2465483235	1.263	1.498	1.545	1.123	2.808	2.621	6	6	0.53	3.494	5.101	4.056	6	1	0	0	TRUE	TRUE
574	18	37	B1-A1	B1-A2	1.3806706114	1.775147929	1.716	2.075	1.248	1.201	2.964	3.276	6	6	0.686	1.373	5.07	5.07	7	9	1	2	TRUE	FALSE
575	26	38	B1-A1	B1-A2	1.1834319527	0.9861932939	0.936	0.999	1.061	1.809	1.997	2.808	6	6	0.67	0.796	5.07	5.07	6	5	0	0	TRUE	FALSE
576	1	2	B2-A2	B2-A1	0.7889546351	1.3806706114	4.415	2.324	2.964	2.247	7.379	4.571	6	6	1.233	0.764	5.07	5.07	4	7	0	0	TRUE	FALSE
577	23	6	B2-A2	B2-A1	1.5779092702	0.4930966469	1.981	1.654	1.482	1.528	3.463	3.182	6	6	0.655	1.404	5.07	4.056	8	2	0	0	TRUE	TRUE
578	27	9	B2-A2	B2-A1	1.1834319527	0.9861932939	1.45	2.823	1.872	2.044	3.322	4.867	6	6	0.499	0.655	5.07	5.07	6	5	0	0	TRUE	FALSE
