index	oiposi	oinega	pname	nname	mrposi	mrnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
696	1	5	B2-A1	B2-A2	3.15581854	0	7.301	4.431	1.061	2.09	8.362	6.521	6	6	0.468	NA	5.07	4.056	16	0	0	0	TRUE	TRUE
697	17	6	B2-A1	B2-A2	1.972386588	0.492975105	2.746	1.404	2.433	0.983	5.179	2.387	6	6	0.405	0.624	5.07	4.057	10	2	0	0	TRUE	TRUE
698	20	22	B2-A1	B2-A2	2.169625247	1.775147929	1.279	2.278	1.295	2.043	2.574	4.321	6	6	0.468	0.437	5.07	5.07	11	9	0	3	TRUE	FALSE
699	35	30	B2-A1	B2-A2	1.775147929	1.775147929	3.104	2.652	1.467	1.295	4.571	3.947	6	6	0.421	0.297	5.07	5.07	9	9	0	1	TRUE	FALSE
700	40	36	B2-A1	B2-A2	2.958579882	0.788954635	1.966	1.326	1.248	1.872	3.214	3.198	6	6	0.624	0.406	5.07	5.07	15	4	0	0	TRUE	FALSE
701	11	1	A1-B1	A1-B2	1.380670611	0.788954635	7.441	1.42	0.905	0.967	8.346	2.387	6	6	0.515	0.608	5.07	5.07	7	4	0	0	TRUE	FALSE
702	13	8	A1-B1	A1-B2	1.972386588	0	1.076	13.666	1.311	0.889	2.387	14.555	6	6	0.53	NA	5.07	4.056	10	0	1	0	TRUE	TRUE
703	20	12	A1-B1	A1-B2	2.564102564	0.986193294	1.404	2.262	0.796	1.123	2.2	3.385	6	6	0.499	0.499	5.07	5.07	13	5	0	0	TRUE	FALSE
704	24	28	A1-B1	A1-B2	0.492975105	0.589854503	9.204	5.663	1.482	1.575	10.686	7.238	6	6	0.64	0.515	4.057	5.086	2	3	0	0	FALSE	FALSE
705	25	33	A1-B1	A1-B2	2.169625247	1.380670611	2.854	1.856	1.202	1.17	4.056	3.026	6	6	0.344	0.484	5.07	5.07	11	7	2	0	TRUE	FALSE
706	2	4	A2-B2	A2-B1	2.761341223	0.788954635	1.28	0.764	0.78	0.827	2.06	1.591	6	6	0.562	0.967	5.07	5.07	14	4	0	0	TRUE	FALSE
707	14	16	A2-B2	A2-B1	2.169625247	1.380670611	1.872	1.389	1.186	1.139	3.058	2.528	6	6	0.546	0.483	5.07	5.07	11	7	0	4	TRUE	FALSE
708	23	19	A2-B2	A2-B1	2.564102564	0.591715976	1.514	5.803	2.558	1.326	4.072	7.129	6	6	0.359	0.64	5.07	5.07	13	3	1	0	TRUE	FALSE
709	27	29	A2-B2	A2-B1	3.15581854	0.591715976	1.498	1.732	1.045	1.076	2.543	2.808	6	6	0.421	0.562	5.07	5.07	16	3	0	0	TRUE	FALSE
710	38	31	A2-B2	A2-B1	2.366863905	0.493096647	1.31	3.526	1.279	1.31	2.589	4.836	6	6	0.499	0.702	5.07	4.056	12	2	0	1	TRUE	TRUE
711	7	3	B1-A2	B1-A1	3.944773176	0.788954635	1.435	7.41	1.108	0.983	2.543	8.393	6	6	0.468	0.702	5.07	5.07	20	4	0	0	TRUE	FALSE
712	10	22	B1-A2	B1-A1	2.761341223	0.986193294	1.544	0.905	1.638	2.075	3.182	2.98	6	6	0.343	0.609	5.07	5.07	14	5	0	4	TRUE	FALSE
713	17	26	B1-A2	B1-A1	2.169625247	0.591715976	0.858	5.694	1.154	1.763	2.012	7.457	6	6	0.359	0.951	5.07	5.07	11	3	1	1	TRUE	FALSE
714	34	35	B1-A2	B1-A1	2.761341223	0.493096647	2.075	3.541	1.498	1.201	3.573	4.742	6	6	0.359	0.406	5.07	4.056	14	2	0	0	TRUE	TRUE
715	36	37	B1-A2	B1-A1	2.169625247	0.246548323	1.638	1.248	0.889	1.794	2.527	3.042	6	6	0.452	1.326	5.07	4.056	11	1	2	0	TRUE	TRUE
716	5	6	B2-A1	B2-A2	2.169625247	0.788954635	1.233	7.363	0.873	1.186	2.106	8.549	6	6	0.468	0.531	5.07	5.07	11	4	2	0	TRUE	FALSE
717	15	9	B2-A1	B2-A2	0.493096647	0.591715976	1.856	1.139	1.077	1.497	2.933	2.636	6	6	0.39	0.624	4.056	5.07	2	3	0	0	FALSE	FALSE
718	18	21	B2-A1	B2-A2	2.366863905	0.788954635	7.597	12.2	0.999	0.873	8.596	13.073	6	6	0.5	0.608	5.07	5.07	12	4	0	0	TRUE	FALSE
719	30	32	B2-A1	B2-A2	2.366863905	1.57790927	1.404	1.186	1.326	1.404	2.73	2.59	6	6	0.421	0.343	5.07	5.07	12	8	0	5	TRUE	FALSE
720	40	39	B2-A1	B2-A2	2.366863905	0.246548323	1.139	6.833	1.107	1.466	2.246	8.299	6	6	0.452	0.406	5.07	4.056	12	1	0	0	TRUE	TRUE
721	11	6	A1-B1	A1-B2	2.366863905	1.775147929	1.372	1.982	1.233	1.372	2.605	3.354	6	6	0.561	0.436	5.07	5.07	12	9	0	1	TRUE	FALSE
722	14	10	A1-B1	A1-B2	2.761341223	1.179709005	1.373	1.124	1.217	1.076	2.59	2.2	6	6	0.327	0.437	5.07	5.086	14	6	1	2	TRUE	FALSE
723	17	24	A1-B1	A1-B2	0.788954635	0.788954635	1.295	2.558	2.824	2.262	4.119	4.82	6	6	0.436	0.499	5.07	5.07	4	4	0	0	TRUE	FALSE
724	26	31	A1-B1	A1-B2	0.493096647	0.591715976	4.57	0.858	0.812	0.967	5.382	1.825	6	6	0.78	0.312	4.056	5.07	2	3	0	1	FALSE	FALSE
725	29	34	A1-B1	A1-B2	3.155196214	0.493096647	0.889	1.826	1.763	1.482	2.652	3.308	6	6	0.312	0.609	5.071	4.056	16	2	0	2	TRUE	TRUE
726	1	5	A2-B2	A2-B1	0	1.57790927	9.345	0.905	1.201	0.842	10.546	1.747	6	6	NA	0.296	4.056	5.07	0	8	1	0	FALSE	FALSE
727	19	21	A2-B2	A2-B1	1.972386588	0.986193294	1.513	1.373	0.718	1.108	2.231	2.481	6	6	0.327	0.483	5.07	5.07	10	5	0	0	TRUE	FALSE
728	23	35	A2-B2	A2-B1	3.15581854	0.788954635	0.998	1.342	1.108	1.029	2.106	2.371	6	6	0.453	0.421	5.07	5.07	16	4	1	0	TRUE	FALSE
