index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1323	16	14	A1-B1	A1-B2	1.972386588	0	0.546	1.482	0.827	0.858	1.373	2.340	6	6	0.047	NA	5.070	4.056	10	0	2	0	TRUE	TRUE
1324	26	21	A1-B1	A1-B2	0.986193294	0.246548323	0.624	5.382	1.061	0.827	1.685	6.209	6	6	0.484	0.062	5.070	4.056	5	1	1	7	TRUE	TRUE
1325	37	27	A1-B1	A1-B2	1.972386588	0.591715976	3.229	1.076	0.795	1.311	4.024	2.387	6	6	0.219	0.047	5.070	5.070	10	3	1	1	TRUE	FALSE
1326	6	10	A2-B2	A2-B1	1.972386588	0.246548323	0.874	4.118	1.029	0.905	1.903	5.023	6	6	0.062	0.296	5.070	4.056	10	1	1	3	TRUE	TRUE
1327	9	13	A2-B2	A2-B1	1.75370226	0.493096647	2.574	0.530	1.107	1.201	3.681	1.731	6	6	0.094	0.047	5.132	4.056	9	2	1	6	TRUE	TRUE
1328	17	29	A2-B2	A2-B1	1.775147929	3.14589068	4.493	0.546	1.092	0.765	5.585	1.311	6	6	0.046	0.000	5.070	5.086	9	16	2	1	TRUE	FALSE
1329	19	32	A2-B2	A2-B1	2.169625247	0.493096647	0.889	0.717	0.827	0.999	1.716	1.716	6	6	0.078	0.047	5.070	4.056	11	2	3	3	TRUE	TRUE
1330	34	35	A2-B2	A2-B1	0.788954635	0.788799053	2.465	0.671	0.889	0.843	3.354	1.514	6	6	0.405	0.016	5.070	5.071	4	4	1	3	TRUE	FALSE
1331	3	12	B1-A1	B1-A2	0.986193294	0.246548323	1.185	4.149	0.874	0.905	2.059	5.054	6	6	0.046	0.062	5.070	4.056	5	1	1	7	TRUE	TRUE
1332	20	18	B1-A1	B1-A2	1.972386588	0.246548323	0.671	2.652	0.904	0.905	1.575	3.557	6	6	0.062	0.062	5.070	4.056	10	1	1	1	TRUE	TRUE
1333	30	31	B1-A1	B1-A2	2.169625247	0.246548323	2.184	8.954	0.952	0.827	3.136	9.781	6	6	0.047	0.016	5.070	4.056	11	1	2	4	TRUE	TRUE
1334	33	36	B1-A1	B1-A2	1.972386588	1.57790927	0.577	0.515	0.827	0.795	1.404	1.310	6	6	0.078	0.000	5.070	5.070	10	8	1	5	TRUE	FALSE
1335	38	40	B1-A1	B1-A2	1.972386588	0.246548323	0.718	0.764	0.764	0.983	1.482	1.747	6	6	0.343	0.140	5.070	4.056	10	1	0	9	TRUE	TRUE
1336	8	2	B2-A2	B2-A1	1.775147929	0.591715976	0.686	0.515	0.858	1.185	1.544	1.700	6	6	0.062	0.109	5.070	5.070	9	3	2	1	TRUE	FALSE
1337	22	5	B2-A2	B2-A1	1.972386588	0.246548323	0.780	0.936	0.874	0.858	1.654	1.794	6	6	0.078	0.359	5.070	4.056	10	1	1	4	TRUE	TRUE
1338	24	15	B2-A2	B2-A1	1.775147929	0.246548323	0.016	0.686	1.357	0.874	1.373	1.560	6	6	0.234	0.062	5.070	4.056	9	1	3	10	TRUE	TRUE
1339	25	23	B2-A2	B2-A1	1.972386588	0.493096647	3.603	0.998	0.936	0.967	4.539	1.965	6	6	0.078	0.062	5.070	4.056	10	2	3	2	TRUE	TRUE
1340	39	28	B2-A2	B2-A1	1.972386588	0.246548323	0.640	0.702	0.827	0.858	1.467	1.560	6	6	0.031	0.187	5.070	4.056	10	1	2	3	TRUE	TRUE
1341	9	4	A1-B1	A1-B2	1.775147929	0.246487552	0.640	3.042	0.936	0.952	1.576	3.994	6	6	0.047	0.250	5.070	4.057	9	1	1	10	TRUE	TRUE
1342	18	16	A1-B1	A1-B2	1.775147929	0.493096647	1.170	0.499	0.858	1.404	2.028	1.903	6	6	0.047	0.094	5.070	4.056	9	2	3	5	TRUE	TRUE
1343	28	19	A1-B1	A1-B2	1.972386588	0.493096647	0.515	1.482	0.858	0.873	1.373	2.355	6	6	0.078	0.046	5.070	4.056	10	2	1	7	TRUE	TRUE
1344	30	26	A1-B1	A1-B2	1.972386588	0.246548323	0.422	1.045	1.450	0.858	1.872	1.903	6	6	0.280	0.296	5.070	4.056	10	1	2	4	TRUE	TRUE
1345	39	37	A1-B1	A1-B2	1.972386588	2.169625247	0.452	4.009	0.952	0.920	1.404	4.929	6	6	0.047	0.000	5.070	5.070	10	11	2	4	TRUE	FALSE
1346	1	2	A2-B2	A2-B1	1.972386588	0.246548323	4.431	3.681	0.780	0.921	5.211	4.602	6	6	0.031	0.265	5.070	4.056	10	1	1	7	TRUE	TRUE
1347	3	6	A2-B2	A2-B1	1.775147929	0.493096647	0.921	1.778	0.858	0.890	1.779	2.668	6	6	0.047	0.250	5.070	4.056	9	2	2	3	TRUE	TRUE
1348	15	17	A2-B2	A2-B1	1.972386588	0.493096647	3.073	0.624	0.842	0.889	3.915	1.513	6	6	0.062	0.249	5.070	4.056	10	2	1	5	TRUE	TRUE
1349	21	32	A2-B2	A2-B1	1.972386588	0.788954635	1.887	4.103	0.968	0.904	2.855	5.007	6	6	0.312	0.094	5.070	5.070	10	4	2	10	TRUE	FALSE
1350	23	38	A2-B2	A2-B1	2.169625247	0.246548323	0.920	3.806	0.827	0.827	1.747	4.633	6	6	0.046	0.437	5.070	4.056	11	1	3	9	TRUE	TRUE
1351	5	11	B1-A1	B1-A2	1.775147929	0.493096647	0.811	0.609	1.810	1.029	2.621	1.638	6	6	0.062	0.047	5.070	4.056	9	2	2	5	TRUE	TRUE
1352	7	12	B1-A1	B1-A2	1.775147929	0.246548323	0.499	0.655	0.999	0.889	1.498	1.544	6	6	0.250	0.281	5.070	4.056	9	1	0	4	TRUE	TRUE
1353	20	22	B1-A1	B1-A2	1.930874686	0.246548323	0.562	2.979	0.998	0.936	1.560	3.915	6	6	0.047	0.062	5.179	4.056	10	1	2	4	TRUE	TRUE
1354	24	33	B1-A1	B1-A2	1.972386588	0.493096647	0.686	1.857	1.123	1.045	1.809	2.902	6	6	0.109	0.280	5.070	4.056	10	2	1	7	TRUE	TRUE
1355	25	35	B1-A1	B1-A2	1.775147929	0.246548323	5.086	4.743	0.905	0.920	5.991	5.663	6	6	0.250	0.312	5.070	4.056	9	1	2	6	TRUE	TRUE
1356	13	8	B2-A2	B2-A1	0.986193294	0.493096647	0.624	2.652	1.591	0.936	2.215	3.588	6	6	0.686	0.078	5.070	4.056	5	2	2	7	TRUE	TRUE
1357	29	10	B2-A2	B2-A1	1.972386588	0.246548323	2.246	6.209	0.952	1.264	3.198	7.473	6	6	0.047	0.234	5.070	4.056	10	1	3	1	TRUE	TRUE
1358	31	14	B2-A2	B2-A1	1.57790927	0.493096647	2.636	2.792	1.092	1.014	3.728	3.806	6	6	0.000	0.031	5.070	4.056	8	2	0	4	TRUE	TRUE
1359	34	27	B2-A2	B2-A1	1.972386588	0.493096647	0.546	0.749	0.905	0.842	1.451	1.591	6	6	0.078	0.046	5.070	4.056	10	2	2	3	TRUE	TRUE
1360	40	36	B2-A2	B2-A1	1.972386588	0.591715976	1.045	0.655	0.874	1.123	1.919	1.778	6	6	0.046	0.296	5.070	5.070	10	3	2	8	TRUE	FALSE
1361	9	2	A1-B1	A1-B2	1.77479787	0.986193294	0.718	0.483	0.874	0.905	1.592	1.388	6	6	0.032	0.062	5.071	5.070	9	5	4	5	TRUE	FALSE
1362	10	3	A1-B1	A1-B2	1.57790927	1.183431953	1.216	2.418	0.936	1.030	2.152	3.448	6	6	0.031	0.015	5.070	5.070	8	6	2	11	TRUE	FALSE
1363	24	6	A1-B1	A1-B2	1.57790927	0.493096647	0.687	0.015	0.811	1.342	1.498	1.357	6	6	0.265	0.281	5.070	4.056	8	2	3	9	TRUE	TRUE
1364	28	23	A1-B1	A1-B2	1.972386588	0.591715976	0.437	0.718	0.889	1.217	1.326	1.935	6	6	0.093	0.047	5.070	5.070	10	3	2	9	TRUE	FALSE
1365	29	25	A1-B1	A1-B2	1.775147929	0.591715976	0.530	0.608	0.843	0.796	1.373	1.404	6	6	0.078	0.047	5.070	5.070	9	3	2	9	TRUE	FALSE
1366	5	13	A2-B2	A2-B1	1.972386588	0.591715976	0.920	0.640	0.936	0.983	1.856	1.623	6	6	0.047	0.125	5.070	5.070	10	3	1	7	TRUE	FALSE
1367	11	16	A2-B2	A2-B1	1.972386588	0.788954635	0.546	0.561	0.936	0.890	1.482	1.451	6	6	0.078	0.078	5.070	5.070	10	4	1	12	TRUE	FALSE
1368	12	31	A2-B2	A2-B1	1.775147929	0.788954635	1.622	0.874	0.921	0.951	2.543	1.825	6	6	0.110	0.093	5.070	5.070	9	4	1	7	TRUE	FALSE
1369	18	33	A2-B2	A2-B1	1.972386588	1.972386588	0.530	0.639	0.905	0.858	1.435	1.497	6	6	0.062	0.078	5.070	5.070	10	10	2	7	TRUE	FALSE
1370	22	37	A2-B2	A2-B1	1.775147929	0.983284169	0.765	1.935	0.951	1.045	1.716	2.980	6	6	0.125	0.031	5.070	5.085	9	5	4	8	TRUE	FALSE
1371	7	1	B1-A1	B1-A2	1.77479787	0.493096647	0.687	5.991	1.139	0.998	1.826	6.989	6	6	0.047	0.249	5.071	4.056	9	2	2	5	TRUE	TRUE
1372	17	20	B1-A1	B1-A2	0.986193294	0.493096647	0.562	0.593	1.404	1.139	1.966	1.732	6	6	0.421	0.062	5.070	4.056	5	2	2	11	TRUE	TRUE
1373	19	27	B1-A1	B1-A2	1.57790927	0.492975105	0.702	0.531	1.092	1.326	1.794	1.857	6	6	0.047	0.016	5.070	4.057	8	2	1	12	TRUE	TRUE
1374	21	32	B1-A1	B1-A2	1.775147929	0.493096647	0.546	0.733	1.045	0.873	1.591	1.606	6	6	0.094	0.016	5.070	4.056	9	2	1	7	TRUE	TRUE
1375	34	35	B1-A1	B1-A2	2.169625247	1.972386588	0.983	0.655	1.388	1.186	2.371	1.841	6	6	0.047	0.327	5.070	5.070	11	10	3	6	TRUE	FALSE
1376	15	4	B2-A2	B2-A1	1.775147929	0.493096647	0.717	0.952	1.061	1.014	1.778	1.966	6	6	0.328	0.078	5.070	4.056	9	2	3	7	TRUE	TRUE
1377	26	8	B2-A2	B2-A1	1.972386588	0.986193294	0.702	0.531	0.873	0.951	1.575	1.482	6	6	0.234	0.094	5.070	5.070	10	5	2	6	TRUE	FALSE
1378	30	14	B2-A2	B2-A1	1.775147929	0.591715976	0.671	0.655	0.983	0.858	1.654	1.513	6	6	0.110	0.062	5.070	5.070	9	3	0	8	TRUE	FALSE
1379	39	36	B2-A2	B2-A1	1.972386588	0.493096647	0.624	0.874	0.874	1.029	1.498	1.903	6	6	0.031	0.047	5.070	4.056	10	2	1	9	TRUE	TRUE
1380	40	38	B2-A2	B2-A1	1.972386588	0.493096647	4.290	0.686	0.873	0.843	5.163	1.529	6	6	0.047	0.047	5.070	4.056	10	2	3	7	TRUE	TRUE
1381	3	20	A1-B1	A1-B2	1.775147929	0.788954635	2.137	0.562	0.905	0.920	3.042	1.482	6	6	0.078	0.062	5.070	5.070	9	4	1	8	TRUE	FALSE
1382	5	24	A1-B1	A1-B2	1.77479787	0.493096647	0.608	0.500	0.874	0.920	1.482	1.420	6	6	0.297	0.078	5.071	4.056	9	2	3	5	TRUE	TRUE
1383	11	25	A1-B1	A1-B2	1.775147929	1.972386588	0.624	0.608	0.905	0.858	1.529	1.466	6	6	0.062	0.063	5.070	5.070	9	10	3	3	TRUE	FALSE
1384	18	26	A1-B1	A1-B2	1.775147929	0.493096647	0.468	0.889	0.858	0.921	1.326	1.810	6	6	0.047	0.062	5.070	4.056	9	2	3	5	TRUE	TRUE
1385	23	27	A1-B1	A1-B2	1.57790927	0.493096647	0.765	0.484	0.827	0.858	1.592	1.342	6	6	0.063	0.031	5.070	4.056	8	2	2	5	TRUE	TRUE
1386	2	13	A2-B2	A2-B1	1.775147929	0.493096647	0.687	0.671	0.842	1.030	1.529	1.701	6	6	0.125	0.124	5.070	4.056	9	2	2	9	TRUE	TRUE
1387	9	17	A2-B2	A2-B1	1.775147929	0.246548323	0.639	0.515	0.967	1.076	1.606	1.591	6	6	0.063	0.359	5.070	4.056	9	1	3	6	TRUE	TRUE
1388	12	29	A2-B2	A2-B1	1.972386588	0.493096647	0.515	0.655	0.936	1.092	1.451	1.747	6	6	0.124	0.343	5.070	4.056	10	2	3	5	TRUE	TRUE
1389	33	31	A2-B2	A2-B1	1.972386588	0.493096647	2.933	0.733	0.967	0.890	3.900	1.623	6	6	0.125	0.032	5.070	4.056	10	2	2	8	TRUE	TRUE
1390	38	35	A2-B2	A2-B1	1.775147929	0.591715976	0.624	0.608	0.967	0.905	1.591	1.513	6	6	0.109	0.265	5.070	5.070	9	3	2	2	TRUE	FALSE
1391	16	10	B1-A1	B1-A2	1.972386588	0.493096647	0.671	0.889	0.905	0.983	1.576	1.872	6	6	0.016	0.140	5.070	4.056	10	2	2	5	TRUE	TRUE
1392	19	14	B1-A1	B1-A2	1.775147929	0.493096647	0.655	0.577	0.998	1.061	1.653	1.638	6	6	0.094	0.062	5.070	4.056	9	2	3	5	TRUE	TRUE
1393	36	15	B1-A1	B1-A2	1.972386588	0.788954635	0.920	0.546	0.889	0.889	1.809	1.435	6	6	0.062	0.093	5.070	5.070	10	4	1	9	TRUE	FALSE
