index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1031	5	2	B1-A2	B1-A1	1.972386588	0.591715976	0.561	0.905	0.874	0.842	1.435	1.747	6	6	0.436	0.000	5.070	5.070	10	3	3	11	TRUE	FALSE
1032	6	17	B1-A2	B1-A1	1.972386588	0	0.546	0.687	0.905	0.873	1.451	1.560	6	6	0.281	NA	5.070	4.056	10	0	7	8	TRUE	TRUE
1033	10	18	B1-A2	B1-A1	1.775147929	0	0.592	0.686	0.999	0.921	1.591	1.607	6	6	0.046	NA	5.070	4.056	9	0	3	6	TRUE	TRUE
1034	26	23	B1-A2	B1-A1	1.775147929	0	3.963	1.201	1.263	0.951	5.226	2.152	6	6	0.109	NA	5.070	4.056	9	0	12	13	TRUE	TRUE
1035	34	37	B1-A2	B1-A1	1.57790927	0.493096647	1.030	0.639	0.889	0.952	1.919	1.591	6	6	0.047	0.046	5.070	4.056	8	2	4	13	TRUE	TRUE
1036	4	3	B2-A1	B2-A2	1.966181675	1.183431953	1.170	2.418	1.092	0.905	2.262	3.323	6	6	0.031	0.265	5.086	5.070	10	6	0	9	TRUE	FALSE
1037	9	12	B2-A1	B2-A2	1.971997634	0.246548323	0.546	0.765	0.983	1.217	1.529	1.982	6	6	0.110	0.281	5.071	4.056	10	1	2	14	TRUE	TRUE
1038	16	19	B2-A1	B2-A2	1.775147929	0.591715976	1.279	0.609	0.920	0.905	2.199	1.514	6	6	0.062	0.141	5.070	5.070	9	3	1	9	TRUE	FALSE
1039	32	33	B2-A1	B2-A2	1.775147929	0.492975105	0.702	1.435	0.889	0.968	1.591	2.403	6	6	0.172	0.094	5.070	4.057	9	2	1	12	TRUE	TRUE
1040	35	39	B2-A1	B2-A2	1.775147929	0.493096647	0.686	0.562	1.217	0.967	1.903	1.529	6	6	0.078	0.109	5.070	4.056	9	2	1	11	TRUE	TRUE
1041	3	4	A1-B1	A1-B2	3.507404521	0.493096647	0.546	0.952	1.061	1.154	1.607	2.106	6	6	0.093	0.094	5.132	4.056	18	2	2	7	TRUE	TRUE
1042	14	20	A1-B1	A1-B2	1.57790927	0.246548323	0.515	1.076	1.201	1.046	1.716	2.122	6	6	0.187	0.297	5.070	4.056	8	1	2	9	TRUE	TRUE
1043	17	31	A1-B1	A1-B2	1.380670611	0.493096647	0.936	0.639	1.420	0.999	2.356	1.638	6	6	0.390	0.219	5.070	4.056	7	2	5	11	TRUE	TRUE
1044	23	35	A1-B1	A1-B2	1.775147929	0.493096647	0.608	0.484	1.420	1.045	2.028	1.529	6	6	0.234	0.156	5.070	4.056	9	2	3	14	TRUE	TRUE
1045	33	37	A1-B1	A1-B2	1.57790927	0.246548323	0.437	0.624	1.045	0.998	1.482	1.622	6	6	0.156	0.343	5.070	4.056	8	1	0	2	TRUE	TRUE
1046	8	9	A2-B2	A2-B1	1.57790927	0	0.546	0.562	1.014	1.731	1.560	2.293	6	6	0.359	NA	5.070	4.056	8	0	1	13	TRUE	TRUE
1047	10	22	A2-B2	A2-B1	1.972386588	0	0.468	1.685	1.529	2.090	1.997	3.775	6	6	0.343	NA	5.070	4.056	10	0	6	12	TRUE	TRUE
1048	12	30	A2-B2	A2-B1	1.758843072	0.246487552	0.359	0.952	1.263	1.170	1.622	2.122	6	6	0.406	0.234	5.117	4.057	9	1	2	1	TRUE	TRUE
1049	21	32	A2-B2	A2-B1	1.775147929	0.246548323	0.499	0.702	0.952	1.856	1.451	2.558	6	6	0.390	0.125	5.070	4.056	9	1	2	13	TRUE	TRUE
1050	26	36	A2-B2	A2-B1	2.169625247	0.246548323	0.515	0.671	1.092	2.402	1.607	3.073	6	6	0.421	0.265	5.070	4.056	11	1	2	12	TRUE	TRUE
1051	5	6	B1-A2	B1-A1	3.944773176	0.493096647	0.156	0.717	1.045	0.968	1.201	1.685	6	6	0.172	0.203	5.070	4.056	20	2	4	12	TRUE	TRUE
1052	7	11	B1-A2	B1-A1	2.366863905	0	0.000	2.933	1.482	1.248	1.482	4.181	6	6	0.343	NA	5.070	4.056	12	0	7	9	TRUE	TRUE
1053	15	16	B1-A2	B1-A1	1.57790927	0.246548323	0.468	0.780	1.497	1.233	1.965	2.013	6	6	0.312	0.203	5.070	4.056	8	1	2	6	TRUE	TRUE
1054	29	27	B1-A2	B1-A1	1.775147929	0.493096647	0.593	0.811	1.279	1.373	1.872	2.184	6	6	0.202	0.046	5.070	4.056	9	2	2	12	TRUE	TRUE
1055	38	39	B1-A2	B1-A1	1.972386588	1.57790927	0.515	0.655	1.014	1.264	1.529	1.919	6	6	0.093	2.762	5.070	5.070	10	8	3	8	TRUE	FALSE
1056	2	1	B2-A1	B2-A2	3.994673768	0.591715976	0.889	2.152	1.014	1.170	1.903	3.322	6	6	0.156	0.093	5.257	5.070	21	3	2	11	TRUE	FALSE
1057	18	13	B2-A1	B2-A2	1.57790927	0.246548323	0.592	2.184	1.139	1.482	1.731	3.666	6	6	0.016	0.343	5.070	4.056	8	1	2	6	TRUE	TRUE
