index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
431	1	8	B1-A2	B1-A1	1.775147929	0	15.85	1.17	1.95	1.482	17.8	2.652	6	6	0.951	NA	5.07	4.056	9	0	0	0	TRUE	TRUE
432	6	17	B1-A2	B1-A1	1.972386588	0.493096647	5.585	1.606	1.123	1.872	6.708	3.478	6	6	0.499	1.576	5.07	4.056	10	2	0	1	TRUE	TRUE
433	11	27	B1-A2	B1-A1	1.775147929	0	1.451	1.014	1.497	1.451	2.948	2.465	6	6	0.749	NA	5.07	4.057	9	0	0	0	TRUE	TRUE
434	23	30	B1-A2	B1-A1	2.169625247	0.788954635	0.951	1.014	0.983	0.92	1.934	1.934	6	6	0.484	1.185	5.07	5.07	11	4	0	0	TRUE	FALSE
435	36	34	B1-A2	B1-A1	1.380670611	2.366863905	0.952	0.811	0.92	0.983	1.872	1.794	6	6	0.499	0.546	5.07	5.07	7	12	0	0	TRUE	FALSE
436	4	5	B2-A1	B2-A2	1.380670611	1.380670611	2.262	1.544	0.858	1.046	3.12	2.59	6	6	0.749	1.217	5.07	5.07	7	7	0	0	TRUE	FALSE
437	9	7	B2-A1	B2-A2	1.775147929	0.492975105	0.64	3.042	1.731	1.716	2.371	4.758	6	6	0.921	0.64	5.07	4.057	9	2	0	0	TRUE	TRUE
438	12	14	B2-A1	B2-A2	0.788954635	1.775147929	0.967	1.42	1.997	1.029	2.964	2.449	6	6	1.466	0.78	5.07	5.07	4	9	0	0	TRUE	FALSE
439	19	15	B2-A1	B2-A2	1.954652072	2.564102564	1.388	1.513	1.17	0.905	2.558	2.418	6	6	0.702	0.5	5.116	5.07	10	13	0	0	TRUE	FALSE
440	31	37	B2-A1	B2-A2	1.380670611	0.985998817	2.028	2.324	0.686	0.874	2.714	3.198	6	6	0.593	1.997	5.07	5.071	7	5	0	0	TRUE	FALSE
